employee_name,user_id,email,role,business_unit,functional_unit,department,team,supervisor
Rosa Vargas,ADB8311,adb8311@dtaa.com,Salesman,1,1,1 - Engineering,Team 9,Lena Adams
Wade Lopez,ADG1145,adg1145@dtaa.com,Production Line Worker,1,1,1 - Engineering,Team 9,Zara Lopez
Umar Hayes,ASC7389,asc7389@dtaa.com,HR Specialist,1,1,2 - Sales,Team 5,Yusuf Walsh
Lena Meyer,ATM7194,atm7194@dtaa.com,Electrical Engineer,1,1,2 - Sales,Team 10,Lena Adams
Yusuf Ulrich,AUI6616,aui6616@dtaa.com,Accountant,1,1,6 - Finance,Team 5,Wade Novak
Marco Patel,AYY2409,ayy2409@dtaa.com,Software Engineer,1,1,6 - Finance,Team 1,Gary Patel
Fiona Tanaka,AZE5960,aze5960@dtaa.com,Software Engineer,1,1,6 - Finance,Team 11,Zara Jensen
Omar Meyer,BFH3103,bfh3103@dtaa.com,Mechanical Engineer,1,1,5 - Information Technology,Team 3,Zara Jensen
Tara Patel,BMU1894,bmu1894@dtaa.com,Accountant,1,1,4 - Research,Team 2,Evan Novak
Beth Gupta,BZL8931,bzl8931@dtaa.com,ITAdmin,1,1,5 - Information Technology,Team 8,Tara Jensen
Evan Reyes,CCL9026,ccl9026@dtaa.com,Mechanical Engineer,1,1,3 - Human Resources,Team 3,Zara Jensen
Alan Ellis,COU3039,cou3039@dtaa.com,Director,1,1,5 - Information Technology,Team 11,Marco Meyer
Petra Quinn,COX0638,cox0638@dtaa.com,Director,1,1,6 - Finance,Team 6,Alan Novak
Nina Ulrich,CQZ8674,cqz8674@dtaa.com,Director,1,1,6 - Finance,Team 1,Omar Reyes
Xena Diaz,CUR4388,cur4388@dtaa.com,Salesman,1,1,5 - Information Technology,Team 12,Lena Diaz
Yusuf Owens,CVC0519,cvc0519@dtaa.com,Electrical Engineer,1,1,1 - Engineering,Team 7,Nina Ulrich
Quinn Chen,DHG6594,dhg6594@dtaa.com,Salesman,1,1,6 - Finance,Team 4,Tara Jensen
Quinn Reyes,DJY4258,djy4258@dtaa.com,Technical Writer,1,1,3 - Human Resources,Team 9,Zara Jensen
Petra Chen,DLS2023,dls2023@dtaa.com,Production Line Worker,1,1,6 - Finance,Team 7,Alan Ellis
Nina Walsh,DNM3159,dnm3159@dtaa.com,Technical Writer,1,1,4 - Research,Team 1,Omar Reyes
Sami Diaz,DON7838,don7838@dtaa.com,Software Engineer,1,1,7 - Operations,Team 10,Wade Patel
Yusuf Yates,DOO3709,doo3709@dtaa.com,Computer Scientist,1,1,3 - Human Resources,Team 5,Marco Meyer
Evan Tanaka,DPC6498,dpc6498@dtaa.com,Technical Writer,1,1,7 - Operations,Team 9,Zara Jensen
